timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597982468875,174,HTTP Request,200,OK,#E: Shelf Data Upload 2-1,text,true,,377,492,1,1,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,174,0,22
1597982469080,164,HTTP Request,200,OK,#E: Shelf Data Upload 2-2,text,true,,377,492,1,1,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,163,0,21
1597982469280,313,HTTP Request,200,OK,#E: Shelf Data Upload 2-3,text,true,,377,492,2,2,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,313,0,18
1597982469474,181,HTTP Request,200,OK,#E: Shelf Data Upload 2-4,text,true,,377,492,1,1,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,180,0,21
1597982469674,175,HTTP Request,200,OK,#E: Shelf Data Upload 2-5,text,true,,377,492,1,1,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,175,0,23
1597999096049,168,HTTP Request,200,OK,#E: Shelf Data Upload 2-1,text,true,,377,492,1,1,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,168,0,15
1597999096249,146,HTTP Request,200,OK,#E: Shelf Data Upload 2-2,text,true,,377,492,1,1,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,146,0,16
1597999096448,189,HTTP Request,200,OK,#E: Shelf Data Upload 2-3,text,true,,377,492,1,1,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,189,0,18
1597999096648,199,HTTP Request,200,OK,#E: Shelf Data Upload 2-4,text,true,,377,492,2,2,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,199,0,19
1597999096847,217,HTTP Request,200,OK,#E: Shelf Data Upload 2-5,text,true,,377,492,1,1,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,217,0,21
1598000168798,226,HTTP Request,200,OK,#E: Shelf Data Upload 2-1,text,true,,290,492,2,2,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,226,0,42
1598000168999,202,HTTP Request,200,OK,#E: Shelf Data Upload 2-2,text,true,,290,492,2,2,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,202,0,19
1598000169199,192,HTTP Request,200,OK,#E: Shelf Data Upload 2-3,text,true,,290,492,1,1,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,192,0,17
1598000169399,210,HTTP Request,200,OK,#E: Shelf Data Upload 2-4,text,true,,290,492,2,2,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,210,0,19
1598000169599,203,HTTP Request,200,OK,#E: Shelf Data Upload 2-5,text,true,,290,492,1,1,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,203,0,20
1598000197839,211,HTTP Request,200,OK,#E: Shelf Data Upload 2-1,text,true,,290,492,2,2,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,211,0,25
1598000198037,214,HTTP Request,200,OK,#E: Shelf Data Upload 2-2,text,true,,290,492,2,2,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,214,0,27
1598000198237,227,HTTP Request,200,OK,#E: Shelf Data Upload 2-3,text,true,,290,492,2,2,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,227,0,35
1598000198437,269,HTTP Request,200,OK,#E: Shelf Data Upload 2-4,text,true,,290,492,2,2,http://10.82.25.104:7004/ords/space/pogc/shelf_data/,269,0,29
